sequence_id	minor_clade
JQ685904	EF-W1
JQ685905	TB1
JQ685906	EF-W1
JQ685907	EF-W1
JQ685908	EF-W1
JQ685909	EF-W1
JQ685910	LX
JQ685911	EF-W1
JQ685912	EF-W1
JQ685913	EF-W1
JQ685914	EF-W2
JQ685915	LI
JQ685916	LI
JQ685917	EF-W1
JQ685918	MYsp
JQ685919	LB1
JQ685920	EF-E1
JQ685921	PH
JQ685922	PS
JQ685923	EF-W1
JQ685924	EF-W2
JQ685925	EF-E2
JQ685926	EF-W1
JQ685927	EF-W1
JQ685928	EF-W1
JQ685929	NULL
JQ685930	EF-W1
JQ685931	EF-W2
JQ685932	EF-W1
JQ685933	EF-W1
JQ685934	EF-W1
JQ685935	EF-W1
JQ685936	DR
JQ685937	EF-W1
JQ685938	NULL
JQ685939	EF-W1
JQ685940	EF-W1
JQ685941	EF-W1
JQ685942	EF-W2
JQ685943	AM2b
JQ685944	AM1
JQ685945	EF-W1
JQ685946	EF-W1
JQ685947	LC
JQ685948	EF-W2
JQ685949	EF-W1
JQ685950	EF-W1
JQ685951	EF-W1
JQ685952	PH
JQ685953	DR
JQ685954	NULL
JQ685955	MYu
JQ685956	EF-W1
JQ685957	MYsp
JQ685958	EF-W1
JQ685959	EF-W1
JQ685960	EF-W1
JQ685961	EF-W1
JQ685962	EF-W1
JQ685963	TB1
JQ685964	EF-W1
JQ685965	PH
JQ685966	EF-W1
JQ685967	AM1
JQ685968	NULL
JQ685969	EF-W1
JQ685970	AM4
JQ685971	AP
JQ685972	EF-W1
JQ685973	EF-W2
JQ685974	EF-W1
JQ685975	Vac2
JQ685976	EF-W1
JQ685977	EF-W2
JQ685978	MYsp
JQ685979	MYsp
JQ685980	A
JQ685981	AL1a
JQ685982	A
JQ685983	AL2
JQ685984	Vac2
JQ685985	AM2a
JQ685986	NULL
JQ685987	AM1
JQ685988	A
JQ685989	AM2a
JQ685990	A
JQ685991	NULL
JQ685992	NULL
JQ685993	NULL
JQ685994	NULL
JQ685995	Vac2
JQ685996	EF-E2
JQ685997	MYsp
JQ685998	MYsp
JQ685999	LC
JQ686000	PS
JQ686001	LN
JQ686002	EF-E1
JQ686003	PS
JQ686004	LN
JQ686005	LI
JQ686006	AP
JQ686007	LB2
JQ686008	MYu
JQ686009	PS
JQ686010	EF-E1
JQ686011	MYsp
JQ686012	MYsp
JQ686013	MYsp
JQ730682	SEA3
JQ944704	NEE
JQ944705	CA1
JQ944706	CA2
JQ944707	A
JQ944708	CA3
JQ970480	SEA2a
JQ970481	SEA1b
JQ970482	SEA1b
JQ970483	SEA1b
JQ970484	SEA1b
JQ970485	SEA1b
JQ970486	SEA1b
JQ970487	SEA1b
JX088694	SEA2a
JX473838	AF1b
JX473839	AF1b
JX473840	AF1b
JX473841	AF1b
KC169986	SEA1b
KC171643	AL2
KC171644	AL2
KC171645	AL2
KC193267	SEA1b
KC196743	NULL
KC252634	SEA1b
KC595280	CA1
KC595281	CA1
KC595282	CA1
KC595283	CA1
KC737850	AM3a
KC762941	SEA1b
KC977995	SEA1b
KF154996	AL1a
KF154997	NEE
KF154998	AF4
KF154999	NULL
KF155000	CA2
KF155001	AF1a
KF155002	AF1b
KF620487	SEA5
KF620488	SEA5
KF620489	SEA5
KF726852	SEA2b
KF726853	SEA1b
KF977826	NULL
KJ004416	SEA1b
KJ564280	SEA1b
KM016899	CA1
KM272192	AL2
KP723638	AF1a
KX148100	DR
KX148101	AF4
KX148102	AM2a
KX148103	AF1b
KX148104	YUGCOW
KX148105	A
KX148106	A
KX148107	NULL
KX148108	NULL
KX148109	DR
KX148110	AM2a
KX148111	AM2a
KX148112	AM2a
KX148113	CE
KX148114	CE
KX148115	CE
KX148116	CE
KX148117	CE
KX148118	CE
KX148119	CE
KX148120	CE
KX148121	CE
KX148122	CE
KX148123	CE
KX148124	CE
KX148125	WE
KX148126	WE
KX148127	WE
KX148128	WE
KX148129	WE
KX148130	WE
KX148131	WE
KX148132	WE
KX148133	WE
KX148134	WE
KX148135	WE
KX148136	EE
KX148137	EE
KX148138	EE
KX148139	EE
KX148140	EE
KX148141	EE
KX148142	EE
KX148143	EE
KX148144	EE
KX148145	EE
KX148146	NEE
KX148147	NEE
KX148148	NEE
KX148149	NEE
KX148150	NEE
KX148151	NEE
KX148152	NEE
KX148153	NEE
KX148154	NEE
KX148155	NEE
KX148156	NEE
KX148157	NEE
KX148158	NEE
KX148159	CA1
KX148160	CA3
KX148161	YUGFOX
KX148162	ME2
KX148163	ME2
KX148164	ME2
KX148165	ME2
KX148166	ME2
KX148167	ME2
KX148168	ME1a
KX148169	ME1a
KX148170	ME1a
KX148171	ME1a
KX148172	ME1a
KX148173	ME1a
KX148174	ME1a
KX148175	ME1a
KX148176	ME1a
KX148177	ME1a
KX148178	ME1a
KX148179	ME1a
KX148180	ME1a
KX148181	ME1a
KX148182	ME1a
KX148183	ME1a
KX148184	ME1a
KX148185	ME1a
KX148186	ME1a
KX148187	ME1a
KX148188	ME1a
KX148189	ME1a
KX148190	ME1a
KX148191	ME1b
KX148192	ME1b
KX148193	AF1a
KX148194	AF1a
KX148195	AF1a
KX148196	AF1a
KX148197	AF1a
KX148198	AF1a
KX148199	AF1a
KX148200	AF1a
KX148201	AF1a
KX148202	AF1a
KX148203	AF1b
KX148204	AF1b
KX148205	AF1b
KX148206	AF1b
KX148207	AF1b
KX148208	AF1b
KX148209	AF1c
KX148210	AF1c
KX148211	AF1c
KX148212	CA2
KX148213	AM1
KX148214	AM3a
KX148215	AM3a
KX148216	AM3a
KX148217	AM3b
KX148218	NULL
KX148219	NULL
KX148220	NULL
KX148221	NULL
KX148222	NULL
KX148223	NULL
KX148224	A
KX148225	AL1b
KX148226	AL1b
KX148227	AL1b
KX148228	AL3
KX148229	NULL
KX148230	NULL
KX148231	NULL
KX148232	NULL
KX148233	NULL
KX148234	NULL
KX148235	NULL
KX148236	NULL
KX148237	NULL
KX148238	NULL
KX148239	NULL
KX148240	NULL
KX148241	NULL
KX148242	NULL
KX148243	NULL
KX148244	NULL
KX148245	NULL
KX148246	NULL
KX148247	SEA3
KX148248	SEA3
KX148249	SEA3
KX148250	SEA3
KX148251	SEA3
KX148252	SEA3
KX148253	SEA3
KX148254	SEA3
KX148255	SEA3
KX148256	SEA3
KX148257	SEA3
KX148258	SEA3
KX148259	SEA4
KX148260	SEA4
KX148261	SEA4
KX148262	SEA4
KX148263	SEA4
KX148264	SEA2a
KX148265	SEA1b
KX148266	SEA1b
KX148267	SEA1a
KX148268	DR
KX148269	TB2
M31046	Vac
NC_001542	Vac
U22480	ME1a
U22481	ME1a
U22483	ME1a
U22487	NULL
U22488	AF1b
U22637	AF1a
U22648	AF1b
U42703	YUGFOX
U42706	WE
U43432	NEE
U52946	LN
ARdgAA35TU1995	AM3c
ARdgAA39TU1996	AM3c
ARdgAA38TU1996	AM3c
ARdgAA53FO2000	AM3c
ARdgAA71FO2000	AM3c
ARCthAA474CH2004	AM3c
ARdgAA911CH2008	AM3c
ARdgAB124FO2012	AM3c
ARNnaAA929CH2009	AM3c
ARdgAA957CH2009	AM3c
ARdgAA959CH2009	AM3c
ARdgA874CH2008	AM3c
ARCthAB193CH2013	AM3c
ARdgAB122CH2015	AM3c
ARdg682CH2017	AM3c
ARdg739CH2016	AM3c
ARCthA696CH2006	AM3c
ARCth552CH1997	AM3c
ARdgAA774FO2007	AM3c
ARNnaAA966FO2009	AM3c
ARNnaAB361FO2013	AM3c
ARdgAB118FO2015	AM3c
ARdgAA888FO2008	AM3c
ARdgAB357FO2013	AM3c
ARdgAA881FO2007	AM3c
ARCthAA886FO2008	AM3c
ARdgAB160FO2013	AM3c
ARdgAB353FO2013	AM3c
ARdgAB362FO2013	AM3c
ARCthAB356FO2013	AM3c
ARdgA166FO2002	AM3c
ARdgAA148CH2002	AM3c
ARdgAA112CH2001	AM3c
ARdgAA120CH2001	AM3c
ARCthA119CH2001	AM3c
PAdg369IT1992	AM3c
PAdg352IT1991	AM3c
PP965373	AM5
PP965367	AM5
PP965364	AM5
PP965360	AM5
PP965366	AM5
PP965361	AM5
PP965351	AM5
PP965365	AM5
PP965369	AM5
PP965371	AM5
PP965368	AM5
PP965362	AM5
PP965344	AM5
PP965347	AM5
PP965374	AM5
PP965345	AM5
PP965363	AM5
PP965354	AM5
PP965359	AM5
PP965357	AM5
PP965349	AM5
PP965355	AM5
PP965352	AM5
PP965353	AM5
PP965343	AM5
PP965358	AM5
PP965348	AM5
PP965346	AM5
PP965356	AM5
PP965350	AM5
PP965370	AM5
PP965372	AM5
