sequence_id	major_clade
JX473838	Cosmopolitan
JX473839	Cosmopolitan
JX473840	Cosmopolitan
JX473841	Cosmopolitan
KC169986	Asian
KC171643	Arctic
KC171644	Arctic
KC171645	Arctic
KC193267	Asian
KC196743	Africa-2
KC252634	Asian
KC595280	Cosmopolitan
KC595281	Cosmopolitan
KC595282	Cosmopolitan
KC595283	Cosmopolitan
KC737850	Cosmopolitan
KC762941	Asian
KC977995	Asian
KF154996	Arctic
KF154997	Cosmopolitan
KF154998	Cosmopolitan
KF154999	Indian-Sub
KF155000	Cosmopolitan
KF155001	Cosmopolitan
KF155002	Cosmopolitan
KF620487	Asian
KF620488	Asian
KF620489	Asian
KF726852	Asian
KF726853	Asian
KF977826	Africa-2
KJ004416	Asian
KJ564280	Asian
KM016899	Cosmopolitan
KM272192	Arctic
KP723638	Cosmopolitan
KX148100	Bats
KX148101	Cosmopolitan
KX148102	Cosmopolitan
KX148103	Cosmopolitan
KX148104	Cosmopolitan
KX148105	Arctic
KX148106	Arctic
KX148107	Africa-2
KX148108	Indian-Sub
KX148109	Bats
KX148110	Cosmopolitan
KX148111	Cosmopolitan
KX148112	Cosmopolitan
KX148113	Cosmopolitan
KX148114	Cosmopolitan
KX148115	Cosmopolitan
KX148116	Cosmopolitan
KX148117	Cosmopolitan
KX148118	Cosmopolitan
KX148119	Cosmopolitan
KX148120	Cosmopolitan
KX148121	Cosmopolitan
KX148122	Cosmopolitan
KX148123	Cosmopolitan
KX148124	Cosmopolitan
KX148125	Cosmopolitan
KX148126	Cosmopolitan
KX148127	Cosmopolitan
KX148128	Cosmopolitan
KX148129	Cosmopolitan
KX148130	Cosmopolitan
KX148131	Cosmopolitan
KX148132	Cosmopolitan
KX148133	Cosmopolitan
KX148134	Cosmopolitan
KX148135	Cosmopolitan
KX148136	Cosmopolitan
KX148137	Cosmopolitan
KX148138	Cosmopolitan
KX148139	Cosmopolitan
KX148140	Cosmopolitan
KX148141	Cosmopolitan
KX148142	Cosmopolitan
KX148143	Cosmopolitan
KX148144	Cosmopolitan
KX148145	Cosmopolitan
KX148146	Cosmopolitan
KX148147	Cosmopolitan
KX148148	Cosmopolitan
KX148149	Cosmopolitan
KX148150	Cosmopolitan
KX148151	Cosmopolitan
KX148152	Cosmopolitan
KX148153	Cosmopolitan
KX148154	Cosmopolitan
KX148155	Cosmopolitan
KX148156	Cosmopolitan
KX148157	Cosmopolitan
KX148158	Cosmopolitan
KX148159	Cosmopolitan
KX148160	Cosmopolitan
KX148161	Cosmopolitan
KX148162	Cosmopolitan
KX148163	Cosmopolitan
KX148164	Cosmopolitan
KX148165	Cosmopolitan
KX148166	Cosmopolitan
KX148167	Cosmopolitan
KX148168	Cosmopolitan
KX148169	Cosmopolitan
KX148170	Cosmopolitan
KX148171	Cosmopolitan
KX148172	Cosmopolitan
KX148173	Cosmopolitan
KX148174	Cosmopolitan
KX148175	Cosmopolitan
KX148176	Cosmopolitan
KX148177	Cosmopolitan
KX148178	Cosmopolitan
KX148179	Cosmopolitan
KX148180	Cosmopolitan
KX148181	Cosmopolitan
KX148182	Cosmopolitan
KX148183	Cosmopolitan
KX148184	Cosmopolitan
KX148185	Cosmopolitan
KX148186	Cosmopolitan
KX148187	Cosmopolitan
KX148188	Cosmopolitan
KX148189	Cosmopolitan
KX148190	Cosmopolitan
KX148191	Cosmopolitan
KX148192	Cosmopolitan
KX148193	Cosmopolitan
KX148194	Cosmopolitan
KX148195	Cosmopolitan
KX148196	Cosmopolitan
KX148197	Cosmopolitan
KX148198	Cosmopolitan
KX148199	Cosmopolitan
KX148200	Cosmopolitan
KX148201	Cosmopolitan
KX148202	Cosmopolitan
KX148203	Cosmopolitan
KX148204	Cosmopolitan
KX148205	Cosmopolitan
KX148206	Cosmopolitan
KX148207	Cosmopolitan
KX148208	Cosmopolitan
KX148209	Cosmopolitan
KX148210	Cosmopolitan
KX148211	Cosmopolitan
KX148212	Cosmopolitan
KX148213	Cosmopolitan
KX148214	Cosmopolitan
KX148215	Cosmopolitan
KX148216	Cosmopolitan
KX148217	Cosmopolitan
KX148218	Africa-3
KX148219	Africa-3
KX148220	Africa-3
KX148221	Africa-3
KX148222	Africa-3
KX148223	Africa-3
KX148224	Arctic
KX148225	Arctic
KX148226	Arctic
KX148227	Arctic
KX148228	Arctic
KX148229	Africa-2
KX148230	Africa-2
KX148231	Africa-2
KX148232	Africa-2
KX148233	Africa-2
KX148234	Africa-2
KX148235	Africa-2
KX148236	Africa-2
KX148237	Africa-2
KX148238	Africa-2
KX148239	Africa-2
KX148240	Africa-2
KX148241	Africa-2
KX148242	Africa-2
KX148243	Africa-2
KX148244	Africa-2
KX148245	Indian-Sub
KX148246	Indian-Sub
KX148247	Asian
KX148248	Asian
KX148249	Asian
KX148250	Asian
KX148251	Asian
KX148252	Asian
KX148253	Asian
KX148254	Asian
KX148255	Asian
KX148256	Asian
KX148257	Asian
KX148258	Asian
KX148259	Asian
KX148260	Asian
KX148261	Asian
KX148262	Asian
KX148263	Asian
KX148264	Asian
KX148265	Asian
KX148266	Asian
KX148267	Asian
KX148268	Bats
KX148269	Bats
M31046	Cosmopolitan
NC_001542	Cosmopolitan
U22480	Cosmopolitan
U22481	Cosmopolitan
U22483	Cosmopolitan
U22487	Africa-2
U22488	Cosmopolitan
U22637	Cosmopolitan
U22648	Cosmopolitan
U42703	Cosmopolitan
U42706	Cosmopolitan
U43432	Cosmopolitan
U52946	Bats
ARdgAA35TU1995	Cosmopolitan
ARdgAA39TU1996	Cosmopolitan
ARdgAA38TU1996	Cosmopolitan
ARdgAA53FO2000	Cosmopolitan
ARdgAA71FO2000	Cosmopolitan
ARCthAA474CH2004	Cosmopolitan
ARdgAA911CH2008	Cosmopolitan
ARdgAB124FO2012	Cosmopolitan
ARNnaAA929CH2009	Cosmopolitan
ARdgAA957CH2009	Cosmopolitan
ARdgAA959CH2009	Cosmopolitan
ARdgA874CH2008	Cosmopolitan
ARCthAB193CH2013	Cosmopolitan
ARdgAB122CH2015	Cosmopolitan
ARdg682CH2017	Cosmopolitan
ARdg739CH2016	Cosmopolitan
ARCthA696CH2006	Cosmopolitan
ARCth552CH1997	Cosmopolitan
ARdgAA774FO2007	Cosmopolitan
ARNnaAA966FO2009	Cosmopolitan
ARNnaAB361FO2013	Cosmopolitan
ARdgAB118FO2015	Cosmopolitan
ARdgAA888FO2008	Cosmopolitan
ARdgAB357FO2013	Cosmopolitan
ARdgAA881FO2007	Cosmopolitan
ARCthAA886FO2008	Cosmopolitan
ARdgAB160FO2013	Cosmopolitan
ARdgAB353FO2013	Cosmopolitan
ARdgAB362FO2013	Cosmopolitan
ARCthAB356FO2013	Cosmopolitan
ARdgA166FO2002	Cosmopolitan
ARdgAA148CH2002	Cosmopolitan
ARdgAA112CH2001	Cosmopolitan
ARdgAA120CH2001	Cosmopolitan
ARCthA119CH2001	Cosmopolitan
PAdg369IT1992	Cosmopolitan
PAdg352IT1991	Cosmopolitan
PP965373	Cosmopolitan
PP965367	Cosmopolitan
PP965364	Cosmopolitan
PP965360	Cosmopolitan
PP965366	Cosmopolitan
PP965361	Cosmopolitan
PP965351	Cosmopolitan
PP965365	Cosmopolitan
PP965369	Cosmopolitan
PP965371	Cosmopolitan
PP965368	Cosmopolitan
PP965362	Cosmopolitan
PP965344	Cosmopolitan
PP965347	Cosmopolitan
PP965374	Cosmopolitan
PP965345	Cosmopolitan
PP965363	Cosmopolitan
PP965354	Cosmopolitan
PP965359	Cosmopolitan
PP965357	Cosmopolitan
PP965349	Cosmopolitan
PP965355	Cosmopolitan
PP965352	Cosmopolitan
PP965353	Cosmopolitan
PP965343	Cosmopolitan
PP965358	Cosmopolitan
PP965348	Cosmopolitan
PP965346	Cosmopolitan
PP965356	Cosmopolitan
PP965350	Cosmopolitan
PP965370	Cosmopolitan
PP965372	Cosmopolitan
