primary_accession	exclusion
OY283525	non IAV genomic sequence
OY283524	non IAV genomic sequence
OY283523	non IAV genomic sequence
OY283522	non IAV genomic sequence
OY283521	non IAV genomic sequence
OY283404	non IAV genomic sequence
OY283403	non IAV genomic sequence
OY283402	non IAV genomic sequence
OY283401	non IAV genomic sequence
OY283400	non IAV genomic sequence
OY283399	non IAV genomic sequence
OY283398	non IAV genomic sequence
OY283397	non IAV genomic sequence
OY283123	non IAV genomic sequence
OY283122	non IAV genomic sequence
OY283121	non IAV genomic sequence
OY283120	non IAV genomic sequence
OY283119	non IAV genomic sequence
OY283118	non IAV genomic sequence
OY283099	non IAV genomic sequence
OY283098	non IAV genomic sequence
OY283097	non IAV genomic sequence
OY283096	non IAV genomic sequence
OY283095	non IAV genomic sequence
OY283094	non IAV genomic sequence
OY283093	non IAV genomic sequence
OY283092	non IAV genomic sequence
OY283077	non IAV genomic sequence
OY283076	non IAV genomic sequence
OY283075	non IAV genomic sequence
OY283074	non IAV genomic sequence
OY283073	non IAV genomic sequence
OY283072	non IAV genomic sequence
OY283070	non IAV genomic sequence
OY283027	non IAV genomic sequence
OY283026	non IAV genomic sequence
OY283025	non IAV genomic sequence
OY283024	non IAV genomic sequence
OY283023	non IAV genomic sequence
OY283022	non IAV genomic sequence
OY283021	non IAV genomic sequence
OY283020	non IAV genomic sequence
OY282653	non IAV genomic sequence
OY282652	non IAV genomic sequence
OY282651	non IAV genomic sequence
OY282650	non IAV genomic sequence
OY282649	non IAV genomic sequence
OY282648	non IAV genomic sequence
OX393841	non IAV genomic sequence
OX393840	non IAV genomic sequence
OX393839	non IAV genomic sequence
OX393838	non IAV genomic sequence
OX393837	non IAV genomic sequence
OX393792	non IAV genomic sequence
OX393791	non IAV genomic sequence
OX393790	non IAV genomic sequence
OX393789	non IAV genomic sequence
OX393788	non IAV genomic sequence
OX393787	non IAV genomic sequence
OX393786	non IAV genomic sequence
OX393785	non IAV genomic sequence
OM585576	non IAV genomic sequence
OM585575	non IAV genomic sequence
OM585574	non IAV genomic sequence
OM585573	non IAV genomic sequence
OM585572	non IAV genomic sequence
8BEK_V	non IAV genomic sequence
8BEK_R	non IAV genomic sequence
7ZPL_V	non IAV genomic sequence
7ZPL_U	non IAV genomic sequence
7Z4O_VVV	non IAV genomic sequence
7Z4O_UUU	non IAV genomic sequence
7R0E_V	non IAV genomic sequence
7R0E_R	non IAV genomic sequence
7QTL_V	non IAV genomic sequence
7QTL_R	non IAV genomic sequence
6T0V_V	non IAV genomic sequence
6T0V_R	non IAV genomic sequence
6T0V_M	non IAV genomic sequence
6FHI_V	non IAV genomic sequence
6FHI_R	non IAV genomic sequence
6FHH_V	non IAV genomic sequence
6FHH_R	non IAV genomic sequence
6EVK_V	non IAV genomic sequence
6EVK_R	non IAV genomic sequence
6EVJ_V	non IAV genomic sequence
6EVJ_U	non IAV genomic sequence
6EVJ_S	non IAV genomic sequence
6EVJ_R	non IAV genomic sequence
5M3H_V	non IAV genomic sequence
5M3H_R	non IAV genomic sequence
CY110922	
CY110921	
KU860470	
KU860467	
KU860469	
KU860473	
KU860472	
KU860471	
KU860468	
GU050550	
DQ266096	
KU860482	
KU860481	
KU860480	
KU860479	
KU860478	
KU860477	
KU860476	
HB373917	
HB373916	
HB373915	
HB373914	
HB373913	
HB373912	
HB373911	
HB373910	
HB373909	
HB373908	
HB373907	
HB373906	
HB373905	
HB373904	
HB373903	
HB373902	
HB373901	
HB373900	
HB373899	
HB373898	
HB373897	
HB373896	
HB373895	
HB373894	
HB373893	
HB373892	
HB373891	
HB373890	
HB373889	
HB373888	
HB373887	
HB373886	
HB373885	
HB373884	
HB373883	
HB373882	
HB373881	
HB373880	
HB373879	
HB373878	
HB373877	
HB373876	
HB373875	
HB373874	
HB373873	
HB373872	
HB373871	
HB373870	
HB373869	
HB373868	
HB373867	
HB373866	
HB373865	
HB373864	
HB373863	
HB373862	
HB373861	
HB373860	
HB373859	
HB373858	
HB373857	
HB373856	
HB373855	
HB373854	
HB373853	
HB373852	
HB373851	
HB373850	
HB373849	
HB373848	
HB373847	
HB373846	
HB373845	
HB373844	
HB373843	
HB373842	
HB373841	
HB373840	
HB373839	
HB373838	
HB373837	
HB373836	
HB373835	
HB373834	
HB373833	
HB373832	
HB373831	
HB373830	
HB373829	
HB373828	
HB373827	
HB373826	
HB373825	
HB373824	
HB373823	
HB373822	
HB373821	
HB373820	
HB373819	
HB373818	
HB373817	
HB373816	
HB373815	
HB373814	
HB373813	
HB373812	
HB373811	
HB373810	
HB373809	
HB373808	
HB373807	
HB373806	
HB373805	
HB373804	
HB373803	
HB373802	
HB373801	
HB373800	
HB373799	
HB373798	
HB373797	
HB373796	
HB382743	
HB378375	
HB373795	
HB373790	
HB373789	
HB373788	
HB373787	
HB373786	
HB373785	
HB373784	
HB373783	
HB373782	
HB373781	
HB373780	
HB373779	
HB373778	
HB373777	
HB373776	
HB373775	
HB373774	
HB373773	
HB373772	
HB373771	
HB373770	
HB373769	
HB373768	
HB373767	
HB373766	
HB373765	
HB373764	
HB373763	
HB373762	
HB373761	
HB373760	
HB373759	
HB373758	
HB373757	
HB373756	
HB373755	
HB373754	
HB373753	
HB373752	
HB373751	
HB373750	
HB373749	
HB373748	
HB373747	
HB373746	
HB373745	
HB373744	
HB373743	
HB373742	
HB373741	
HB373740	
HB373739	
HB373738	
HB373737	
HB373736	
HB373735	
HB373734	
HB373733	
HB373732	
HB373731	
HB373730	
HB373729	
HB373728	
HB373727	
HB373726	
HB373725	
HB373724	
HB373723	
HB373722	
HB373721	
HB373720	
HB373719	
HB373718	
HB373717	
HB373716	
LQ258254	
LQ258253	
LQ258252	
LQ258251	
LQ258250	
LQ258249	
LQ338009	
DM082401	
DM082400	
DM082399	
DM082398	
DM082397	
DM082396	
DM082395	
DM082394	
DM082393	
DM082392	
DM082391	
DM082390	
DM082389	
DM082388	
DM082387	
DM082386	
DM082385	
DM082384	
DM082383	
DM082382	
DM082381	
DM087158	
DM082380	
DM087157	
DM087156	
DM087155	
DM087154	
DM087153	
DM087152	
DM087151	
DM087150	
DM087149	
DM087148	
DM087147	
DM087146	
DM087145	
DM087144	
DM087143	
DM087142	
DM087141	
DM087140	
DM087139	
DM087138	
DM087137	
DM087136	
DM087135	
DM087134	
DM087133	
DM087132	
DM087131	
DM087130	
DM087129	
DM087128	
DM087127	
DM087126	
DM087125	
DM087124	
DM087123	
DM087122	
DM087121	
DM087120	
DM087119	
DM087118	
DM087117	
DM087116	
DM087115	
DM087114	
DM087113	
DM087112	
DM087111	
DM087110	
DM087109	
DM087108	
DM087107	
DM087106	
DM087105	
DM087104	
DM087103	
DM087102	
DM087101	
DM087100	
DM087099	
DM087098	
DM087097	
DM087096	
DM087095	
DM087094	
DM087093	
DM087092	
DM087091	
DM087090	
DM087089	
DM087088	
DM087087	
DM087086	
DM087085	
DM087084	
DM087083	
DM087082	
DM087081	
DM087080	
DM087079	
DM087078	
DM087077	
DM087076	
DM087075	
DM087074	
DM087073	
DM087072	
DM087071	
DM087070	
DM087069	
DM087068	
DM087067	
DM087066	
DM087065	
DM087064	
DM087063	
DM087062	
DM087061	
DM087060	
DM087059	
DM087058	
DM087057	
DM087056	
DM087055	
DM087054	
DM087053	
DM087052	
DM087051	
DM087050	
DM087049	
DM087048	
DM087047	
DM087046	
DM087045	
DM087044	
DM087043	
DM087042	
DM087041	
DM087040	
DM087039	
DM087038	
DM087037	
DM087036	
DM087035	
DM087034	
DM087033	
DM087032	
DM087031	
DM087030	
DM087029	
DM087028	
DM087027	
DM087026	
DM087025	
DM087024	
DM087023	
DM087022	
DM087021	
DM087020	
DM087019	
DM087018	
DM087017	
DM087016	
DM087015	
DM087014	
DM087013	
DM087012	
DM087011	
DM087010	
DM087009	
DM087008	
DM087007	
DM087006	
DM087005	
DM087004	
DM087003	
DM087002	
DM087001	
DM087000	
DM086999	
DM086998	
DM086997	
DM086996	
DM086995	
DM086994	
DM086993	
DM086992	
DM086991	
DM086990	
DM086989	
DM086988	
DM086987	
DM086986	
DM086985	
DM086984	
DM086983	
DM086982	
DM086981	
DM085619	
DM085618	
DM085617	
DM085616	
DM085615	
DM085614	
DM085613	
DM085612	
DM085611	
DM085610	
DM085609	
DM085608	
DM085607	
DM085606	
DM085605	
DM085604	
DM085603	
DM085602	
DM085601	
DM085600	
DM085599	
DM085598	
DM085597	
DM085596	
DM085595	
DM085594	
DM085593	
DM085592	
DM085591	
DM085590	
DM085589	
DM085588	
DM085587	
DM085586	
DM085585	
DM085584	
DM085583	
DM085582	
DM085581	
DM085580	
DM085579	
DM085578	
DM085577	
DM085576	
DM085575	
DM085574	
DM085573	
DM085572	
DM085571	
DM085570	
DM085569	
DM085568	
DM085567	
DM085566	
DM085565	
DM085564	
DM085563	
DM085562	
DM085561	
DM085560	
DM085559	
DM085558	
DM080387	
DM080386	
DM080385	
DM080384	
DM080383	
DM080382	
DM080381	
DM080380	
DM080379	
DM080378	
DM080377	
DM080376	
DM080375	
DM080374	
DM080373	
DM080372	
DM080371	
DM080370	
DM080369	
DM080368	
DM080367	
DM080366	
DM080365	
DM080364	
DM080363	
DM080362	
DM080361	
DM080360	
DM080359	
DM080358	
DM080357	
DM080356	
DM080355	
DM080354	
DM080353	
DM080352	
DM080351	
DM080350	
DM080349	
DM080348	
DM080347	
DM080346	
DM080345	
DM080344	
DM080343	
DM080342	
DM080341	
DM080340	
DM080339	
DM080338	
DM080337	
DM080336	
DM080335	
DM080334	
DM080333	
DM080332	
DM080331	
DM080330	
DM080329	
DM080328	
DM080327	
DM080326	
DM080325	
DM080324	
DM080323	
DM080322	
DM080321	
DM080320	
DM080319	
DM080318	
DM080317	
DM080316	
DM080315	
DM080314	
DM080313	
DM080312	
DM080311	
DM080310	
DM080309	
DM080308	
DM080307	
DM080306	
DM080305	
DM080304	
DM080303	
DM080302	
DM080301	
DM080300	
DM080299	
DM080298	
DM080297	
DM080296	
DM080295	
DM080294	
DM080293	
DM080292	
DM080291	
DM080290	
DM080289	
DM080288	
DM080287	
DM080286	
DM080285	
DM080284	
DM080283	
DM080282	
DM080281	
DM080280	
DM080279	
DM080278	
DM080277	
DM080276	
DM080275	
DM080274	
DM080273	
DM080272	
DM080271	
DM080270	
DM080269	
DM080268	
DM080267	
DM080266	
DM080265	
DM080264	
DM080263	
DM080262	
DM080261	
DM080260	
DM080259	
DM080258	
DM080257	
DM080256	
DM080255	
DM080254	
DM080253	
DM080252	
DM080251	
DM080250	
HB374725	
HB374724	
HB374723	
HB374722	
HB374721	
HB374720	
HB374719	
HB374718	
HB374717	
HB374716	
HB374715	
HB374714	
HB374713	
HB374712	
HB374711	
HB374710	
HB374709	
HB374708	
HB374707	
HB374706	
HB374705	
HB374704	
HB374703	
HB374702	
HB374701	
HB374700	
HB374699	
HB374698	
HB374697	
HB374696	
HB374695	
HB374694	
HB374693	
HB374692	
HB374691	
HB374690	
HB374689	
HB374688	
HB374687	
HB374686	
HB374685	
HB374684	
HB374683	
HB374682	
HB374681	
HB374680	
HB374679	
HB374678	
HB374677	
HB374676	
HB374675	
HB374674	
HB374673	
HB374672	
HB374671	
HB374670	
HB374669	
HB374668	
HB374667	
HB374666	
HB374665	
HB374664	
HB374663	
HB374662	
HB374661	
HB374660	
HB374659	
HB374658	
HB374657	
HB374656	
HB374655	
HB374654	
HB374653	
HB374652	
HB374651	
HB374650	
HB374649	
HB374648	
HB374647	
HB374646	
HB374645	
HB374644	
HB374643	
HB374642	
HB374641	
HB374640	
HB374639	
HB374638	
HB374637	
HB374636	
HB374635	
HB374634	
HB374633	
HB374632	
HB374631	
HB374630	
HB374629	
HB374628	
HB374627	
HB374626	
HB374625	
HB374624	
HB374623	
HB374622	
HB374621	
HB374620	
HB374619	
HB374618	
HB374617	
HB374616	
HB374615	
HB374614	
HB374613	
HB374612	
HB374611	
HB374610	
HB374609	
HB374608	
HB374607	
HB374606	
HB374605	
HB374604	
HB374603	
HB374602	
HB374601	
HB374600	
HB374599	
HB374598	
HB374597	
HB374596	
HB374595	
HB374594	
HB374593	
HB374592	
HB383539	
HB379171	
HB374591	
HB383538	
HB383537	
HB383536	
HB383535	
HB383534	
HB383533	
HB383532	
HB383531	
HB383530	
HB383529	
HB383528	
HB383527	
HB383526	
HB383525	
HB383524	
HB383523	
HB383522	
HB383521	
HB383520	
HB383519	
HB383518	
HB383517	
HB383516	
HB383515	
HB383514	
HB383513	
HB383512	
HB383511	
HB383510	
HB383509	
HB383508	
HB383507	
HB383506	
HB383505	
HB383504	
HB383503	
HB383502	
HB383501	
HB383500	
HB383499	
HB383498	
HB383497	
HB383496	
HB383495	
HB383494	
HB383493	
HB383492	
HB383491	
HB383490	
HB383489	
HB383488	
HB383487	
HB383486	
HB383485	
HB383484	
HB383483	
HB383482	
HB383481	
HB383480	
HB383479	
HB383478	
HB383477	
HB383476	
DM081062	
DM081061	
DM081060	
DM081059	
DM081058	
DM081057	
DM081056	
DM081055	
DM081054	
DM081053	
DM081052	
DM081051	
DM081050	
DM081049	
DM081048	
DM081047	
DM081046	
DM081045	
DM081044	
DM081043	
DM081042	
DM081041	
DM081040	
DM081039	
DM081038	
DM081037	
DM081036	
DM081035	
DM081034	
DM081033	
DM081032	
DM081031	
DM081030	
DM081029	
DM081028	
DM081027	
DM081026	
DM081025	
DM081024	
DM081023	
DM081022	
DM081021	
DM081020	
DM081019	
DM081018	
DM081017	
DM081016	
DM081015	
DM081014	
DM081013	
DM081012	
DM081011	
DM081010	
DM081009	
DM081008	
DM081007	
DM081006	
DM081005	
DM081004	
DM081003	
DM081002	
DM081001	
DM081000	
DM080999	
DM080998	
DM080997	
DM080996	
DM080995	
DM080994	
DM080993	
DM080992	
DM080991	
DM080990	
DM080989	
DM080988	
DM080987	
DM080986	
DM080985	
DM080984	
DM086352	
DM081781	
DM081780	
DM081779	
DM086351	
DM086350	
DM086349	
DM086348	
DM086347	
DM086346	
DM086345	
DM086344	
DM086343	
DM086342	
DM086341	
DM086340	
DM086339	
DM086338	
DM086337	
DM086336	
DM086335	
DM086334	
DM086333	
DM086332	
DM086331	
DM086330	
DM086329	
DM086328	
DM086327	
DM086326	
DM086325	
DM086324	
DM086323	
DM086322	
DM086321	
DM086320	
DM086319	
DM086318	
DM086317	
DM086316	
DM086315	
DM086314	
DM086313	
DM086312	
DM086311	
DM086310	
DM086309	
DM086308	
DM086307	
DM086306	
DM086305	
DM086304	
DM086303	
DM086302	
DM086301	
DM086300	
DM086299	
DM086298	
DM086297	
DM086296	
DM086295	
DM086294	
DM086293	
DM086292	
DM086291	
DM086290	
DM086289	
DM086288	
DM086287	
DM086286	
DM086285	
DM086284	
DM086283	
DM086282	
DM086281	
DM086280	
DM086279	
DM086278	
DM086277	
DM086276	
DM086275	
DM086274	
DM086273	
DM086272	
DM086271	
DM086270	
DM086269	
DM086268	
DM086267	
DM086266	
DM086265	
DM086264	
DM086263	
DM086262	
DM086261	
DM086260	
DM086259	
DM086258	
DM086257	
DM086256	
DM086255	
DM086254	
DM086253	
DM086252	
DM086251	
DM086250	
DM086249	
DM086248	
DM086247	
DM086246	
DM086245	
DM086244	
DM086243	
DM086242	
DM086241	
DM086240	
DM086239	
DM086238	
DM086237	
DM086236	
DM086235	
HB373304	
HB373303	
HB373302	
HB373301	
HB373300	
HB373299	
HB373298	
HB373297	
HB373296	
HB373295	
HB373294	
HB373293	
HB373292	
HB373291	
HB373290	
HB373289	
HB373288	
HB373287	
HB373286	
HB373285	
HB373284	
HB373283	
HB373282	
HB373281	
HB373280	
HB373279	
HB373278	
HB373277	
HB373276	
HB373275	
HB373274	
HB373273	
HB373272	
HB373271	
HB373270	
HB373269	
HB373268	
HB373267	
HB373266	
HB373265	
HB373264	
HB373263	
HB373262	
HB373261	
HB373260	
HB373259	
HB373258	
HB373257	
HB373256	
HB373255	
HB373254	
HB373253	
HB373252	
HB373251	
HB373250	
HB373249	
HB373248	
HB373247	
HB373246	
HB373245	
HB373244	
HB373243	
HB373242	
HB373241	
HB373240	
HB373239	
HB373238	
HB373237	
HB373236	
HB373235	
HB373234	
HB373233	
HB373232	
HB373231	
HB373230	
HB373229	
HB373228	
HB373227	
HB373226	
HB373225	
HB373224	
HB373223	
HB373222	
HB373221	
HB373220	
HB373219	
HB373218	
HB373217	
HB373216	
HB373215	
HB373214	
HB373213	
HB373212	
HB373211	
HB373210	
HB373209	
HB373208	
HB373207	
HB373206	
HB373205	
HB373204	
HB373203	
HB373202	
HB373201	
HB373200	
HB373199	
HB373198	
HB373197	
HB373196	
HB373195	
HB373194	
HB373193	
HB373192	
HB373191	
HB373190	
HB377969	
HB377968	
HB377967	
HB377966	
HB377965	
HB377964	
HB377963	
HB377962	
HB377961	
HB377960	
HB377959	
HB377958	
HB377957	
HB377956	
HB377955	
HB377954	
HB377953	
HB377952	
HB377951	
HB377950	
HB377949	
HB377948	
HB377947	
HB377946	
HB377945	
HB377944	
HB377943	
HB377942	
HB377941	
HB377940	
HB377939	
HB377938	
HB377937	
HB377936	
HB377935	
HB377934	
HB377933	
HB377932	
HB377931	
HB377930	
HB377929	
HB377928	
HB377927	
HB377926	
HB377925	
HB377924	
HB377923	
HB377922	
HB377921	
HB377920	
HB377919	
HB377918	
HB377917	
HB377916	
HB377915	
HB377914	
HB377913	
HB377912	
HB377911	
HB377910	
HB377909	
HB377908	
HB377907	
HB377906	
HB377905	
HB377904	
HB377903	
HB377902	
HB377901	
HB377900	
HB377899	
HB377898	
HB377897	
HB377896	
HB377895	
HB377894	
HB377893	
HB377892	
HB377891	
HB377890	
HB377889	
HB377888	
HB377887	
HB377886	
HB377885	
PA552185	
PA552184	
HB380004	
HB380003	
HB380002	
HB380001	
HB380000	
HB379999	
HB379998	
HB379997	
HB379996	
HB379995	
HB379994	
HB379993	
HB379992	
HB379991	
HB379990	
HB379989	
HB379988	
HB379987	
HB379986	
HB379985	
HB379984	
HB379983	
HB379982	
HB379981	
HB379980	
HB379979	
HB379978	
HB379977	
HB379976	
HB379975	
HB379974	
HB379973	
HB379972	
HB379971	
HB379970	
HB379969	
HB379968	
HB379967	
HB375387	
HB379966	
HB379965	
HB379964	
HB379963	
HB379962	
HB379961	
HB379960	
HB379959	
HB379958	
HB379957	
HB379956	
HB379955	
HB379954	
HB379953	
HB379952	
HB379951	
HB379950	
HB379949	
HB379948	
HB379947	
HB379946	
HB379945	
HB379944	
HB379943	
HB379942	
HB379941	
HB379940	
HB379939	
HB379938	
HB379937	
HB379936	
HB379935	
HB379934	
HB379933	
HB379932	
HB379931	
HB379930	
HB379929	
HB379928	
HB379927	
HB379926	
HB379925	
HB379924	
HB379923	
HB379922	
HB379921	
HB379920	
HB379919	
HB379918	
HB379917	
HB379916	
HB379915	
HB379914	
HB379913	
HB379912	
HB379911	
HB379910	
HB379909	
HB379908	
HB379907	
HB379906	
HB379905	
HB379904	
HB379903	
HB379902	
HB379901	
HB379900	
HB379899	
HB379898	
HB379897	
HB379896	
HB379895	
HB379894	
HB379893	
HB379892	
HB379891	
HB379890	
HB379889	
HB379888	
HB379887	
HB379886	
HB379885	
HB379884	
HB379883	
HB379882	
HB379881	
HB379880	
HB379879	
HB379878	
HB379877	
HB379876	
HB379875	
HB379874	
HB379873	
HB379872	
HB379871	
HB379870	
HB379869	
HB379868	
HB379867	
HB379866	
HB379865	
HB379864	
HB379863	
HB379862	
HB379861	
HB379860	
HB379859	
HB379858	
HB379857	
HB379856	
HB379855	
HB379854	
HB379853	
HB379852	
HB379851	
HB379850	
HB379849	
HB379848	
HB379847	
HB379846	
HB379845	
HB379844	
HB379843	
HB379842	
HB379841	
HB379840	
HB379839	
HB379838	
HB379837	
HB379836	
HB379835	
HB379834	
HB379833	
HB379832	
HB379831	
HB379830	
HB379829	
HB379828	
HB379827	
HB379826	
HB379825	
HB379824	
HB379823	
HB379822	
HB379821	
HB379820	
HB379819	
HB379818	
HB379817	
HB379816	
HB379815	
HB379814	
HB379813	
HB379812	
HB379811	
HB379810	
HB379809	
HB379808	
HB379807	
HB379806	
HB380194	
HB380193	
HB380192	
HB380191	
HB380190	
HB380189	
HB380188	
HB380187	
HB380186	
HB380185	
HB380184	
HB380183	
HB380182	
HB380181	
HB380180	
HB380179	
HB380178	
HB380177	
HB380176	
HB380175	
HB380174	
HB380173	
HB380172	
HB380171	
HB380170	
HB380169	
HB380168	
HB375586	
HB375585	
HB375584	
HB375583	
HB375582	
HB375581	
HB375580	
HB375579	
HB375578	
HB375577	
HB375576	
HB375575	
HB375574	
HB375573	
HB375572	
HB375571	
HB375570	
HB375569	
HB375568	
HB375567	
HB375566	
HB375565	
HB375564	
HB375563	
HB375562	
HB375561	
HB375560	
HB375559	
HB375558	
HB375557	
HB375556	
HB375555	
HB375554	
HB375553	
HB375552	
HB375551	
HB375550	
HB375549	
HB375548	
HB375547	
HB375546	
HB375545	
HB375544	
HB375543	
HB375542	
HB375541	
HB375540	
HB375539	
HB375538	
HB375537	
HB375536	
HB375535	
HB375534	
HB375533	
HB375532	
HB375531	
HB375530	
HB375529	
HB375528	
HB375527	
HB375526	
HB375525	
HB375524	
HB375523	
HB375522	
HB375521	
HB375520	
HB375519	
HB375518	
HB375517	
HB375516	
HB375515	
HB375514	
HB375513	
HB375512	
HB375511	
HB375510	
HB375509	
HB375508	
HB375507	
HB375506	
HB375505	
HB375504	
HB375503	
HB375502	
HB375501	
HB375500	
HB375499	
HB375498	
HB375497	
HB375496	
HB375495	
HB375494	
HB375493	
HB375492	
HB375491	
HB375490	
HB375489	
HB375488	
HB375487	
HB375486	
HB375485	
HB375484	
HB375483	
HB375482	
HB375481	
HB375480	
HB375479	
HB375478	
HB375477	
HB375476	
HB375475	
HB375474	
HB375473	
HB375472	
HB375471	
HB375470	
HB375469	
HB375468	
HB375467	
HB375466	
HB375465	
HB375464	
HB375463	
HB375462	
HB375461	
HB375460	
HB375459	
HB375458	
HB375457	
HB375456	
HB375455	
HB375454	
HB375453	
HB375452	
HB375451	
HB375450	
HB375449	
HB375448	
HB375447	
HB375446	
HB375445	
HB375444	
HB375443	
HB375442	
HB375441	
HB375440	
HB375439	
HB375438	
HB375437	
HB375436	
HB375435	
HB375434	
HB375433	
HB375432	
HB375431	
HB375430	
HB375429	
HB375428	
HB375427	
HB375426	
HB375425	
HB375424	
HB375423	
HB375422	
HB375421	
HB375420	
HB375419	
HB375418	
HB375417	
HB375416	
HB375415	
HB375414	
DJ347280	
DJ347279	
DJ347278	
DJ347277	
DJ347276	
DJ347275	
DJ347274	
DJ347273	
DJ362732	
DJ362731	
MQ301563	
MQ301562	
MQ301561	
BD269495	
BD269492	
BD269486	
BD244641	
BD244640	
BD244639	
BD244638	
BD244637	
BD244636	
BD244635	
BD244634	
BD244633	
BD244632	
BD244631	
BD244630	
BD244629	
BD244628	
BD244627	
BD244626	
BD244625	
BD232402	
BD232397	
HB378903	
HB378902	
HB378901	
HB378900	
HB378899	
HB378898	
HB378897	
HB378896	
HB378895	
HB378894	
HB378893	
HB378892	
HB378891	
HB378890	
HB378889	
HB378888	
HB378887	
HB378886	
HB378885	
HB378884	
HB378883	
HB378882	
HB378881	
HB378880	
HB378879	
HB378878	
HB378877	
HB378876	
HB378875	
HB378874	
HB378873	
HB378872	
HB378871	
HB378870	
HB378869	
HB378868	
HB378867	
HB378866	
HB378865	
HB378864	
HB378863	
HB378862	
HB378861	
HB378860	
HB378859	
HB378858	
HB378857	
HB378856	
HB378855	
HB378854	
HB378853	
HB378852	
HB378851	
HB378850	
HB378849	
HB378848	
HB378847	
HB378846	
HB378845	
HB378844	
HB378843	
HB378842	
HB378841	
HB378840	
HB378839	
HB378838	
HB378837	
HB378836	
HB378835	
HB378834	
HB378833	
HB378832	
HB378831	
HB378830	
HB378829	
HB378828	
HB378827	
HB378826	
HB378825	
HB378824	
HB378823	
HB378822	
HB378821	
HB378820	
HB378819	
HB378818	
HB378817	
HB378816	
HB378815	
HB378814	
HB378813	
HB378812	
HB378811	
HB378810	
HB378809	
HB378808	
HB378807	
HB378806	
HB378805	
HB378804	
HB378803	
HB378802	
HB378801	
HB378800	
HB378799	
HB378798	
HB378797	
HB378796	
HB378795	
HB378794	
HB378793	
HB378792	
HB378791	
HB378790	
HB378789	
